Host	Date	MYb27	MYb45	MYb53	MYb56	MYb71	MYb120	MYb181	MYb238	Total
AU37	12319	120.00	0.00	140.00	0.00	2420.00	0.00	0.00	0.00	2680.00
AU37	12319	180.00	0.00	100.00	0.00	2900.00	0.00	0.00	0.00	3180.00
AU37	12319	200.00	0.00	20.00	0.00	5000.00	0.00	0.00	0.00	5220.00
AU37	12319	860.00	0.00	220.00	0.00	4600.00	0.00	0.00	6.00	5686.00
AU37	12319	3400.00	0.00	2200.00	0.00	18400.00	0.00	0.00	20.00	24020.00
AU37	12319	13200.00	0.00	800.00	0.00	10600.00	0.00	0.00	20.00	24620.00
AU37	12319	6000.00	0.00	800.00	0.00	18800.00	0.00	0.00	0.00	25600.00
AU37	12319	2600.00	0.00	2200.00	0.00	23000.00	60.00	0.00	200.00	28060.00
AU37	12319	6400.00	0.00	2200.00	0.00	20400.00	0.00	0.00	1400.00	30400.00
AU37	12319	11600.00	0.00	2800.00	200.00	40000.00	0.00	0.00	1200.00	55800.00
AU37	12319	15400.00	400.00	1400.00	0.00	48000.00	0.00	0.00	1800.00	67000.00
AU37	21319	20.00	0.00	460.00	540.00	1520.00	0.00	20.00	0.00	2560.00
AU37	21319	0.00	0.00	700.00	300.00	2460.00	0.00	120.00	0.00	3580.00
AU37	21319	0.00	0.00	680.00	800.00	2300.00	0.00	80.00	0.00	3860.00
AU37	21319	20.00	0.00	200.00	1000.00	2800.00	0.00	0.00	0.00	4020.00
AU37	21319	0.00	0.00	100.00	1200.00	3000.00	0.00	0.00	0.00	4300.00
AU37	21319	400.00	0.00	1000.00	2000.00	3600.00	0.00	0.00	0.00	7000.00
AU37	21319	880.00	0.00	280.00	1080.00	6000.00	0.00	20.00	20.00	8280.00
AU37	21319	20.00	0.00	800.00	2000.00	6800.00	0.00	20.00	0.00	9640.00
AU37	21319	0.00	0.00	600.00	3200.00	7200.00	0.00	400.00	0.00	11400.00
AU37	21319	0.00	0.00	1400.00	1000.00	9000.00	0.00	200.00	0.00	11600.00
AU37	21319	600.00	0.00	600.00	2400.00	9200.00	0.00	120.00	0.00	12920.00
AU37	21319	200.00	0.00	1000.00	6000.00	5800.00	0.00	20.00	0.00	13020.00
AU37	21319	100.00	0.00	400.00	2000.00	11200.00	0.00	0.00	0.00	13700.00
AU37	21319	2800.00	0.00	1800.00	2000.00	8200.00	0.00	0.00	0.00	14800.00
AU37	21319	200.00	0.00	600.00	8000.00	6400.00	0.00	0.00	0.00	15200.00
AU37	21319	0.00	0.00	1600.00	6000.00	7600.00	0.00	200.00	0.00	15400.00
AU37	21319	0.00	0.00	1400.00	4800.00	9400.00	0.00	200.00	0.00	15800.00
AU37	21319	200.00	0.00	400.00	5000.00	10200.00	0.00	0.00	0.00	15800.00
AU37	21319	200.00	0.00	800.00	800.00	14400.00	0.00	0.00	0.00	16200.00
AU37	21319	400.00	0.00	1400.00	1200.00	16600.00	0.00	200.00	0.00	19800.00
AU37	21319	200.00	0.00	1400.00	9000.00	9200.00	0.00	200.00	0.00	20000.00
AU37	21319	1600.00	9200.00	1000.00	3200.00	5200.00	0.00	0.00	0.00	20200.00
AU37	21319	0.00	0.00	800.00	10000.00	9200.00	0.00	200.00	0.00	20200.00
AU37	21319	2000.00	0.00	1400.00	5000.00	12800.00	0.00	0.00	0.00	21200.00
AU37	21319	200.00	0.00	400.00	7400.00	13400.00	0.00	0.00	0.00	21400.00
AU37	21319	0.00	0.00	600.00	8600.00	12800.00	0.00	0.00	0.00	22000.00
AU37	21319	1400.00	0.00	800.00	8000.00	11800.00	0.00	200.00	0.00	22200.00
AU37	21319	600.00	0.00	600.00	2400.00	18600.00	0.00	400.00	0.00	22600.00
AU37	21319	0.00	40.00	1800.00	2000.00	20000.00	0.00	0.00	0.00	23840.00
AU37	21319	1800.00	0.00	1800.00	6000.00	16200.00	0.00	200.00	0.00	26000.00
AU37	21319	1200.00	0.00	200.00	9600.00	16000.00	0.00	0.00	0.00	27000.00
AU37	21319	5000.00	0.00	3200.00	2000.00	17400.00	0.00	0.00	0.00	27600.00
AU37	21319	200.00	0.00	1600.00	5000.00	27000.00	0.00	200.00	0.00	34000.00
AU37	21319	2800.00	0.00	1800.00	1400.00	29400.00	0.00	0.00	200.00	35600.00
AU37	21319	600.00	0.00	600.00	10600.00	24800.00	0.00	0.00	0.00	36600.00
AU37	21319	600.00	0.00	0.00	14000.00	23800.00	0.00	0.00	0.00	38400.00
AU37	21319	2600.00	0.00	1000.00	5600.00	30000.00	0.00	0.00	200.00	39400.00
AU37	21319	200.00	0.00	200.00	7000.00	32800.00	0.00	0.00	0.00	40200.00
AU37	21319	1000.00	0.00	600.00	4000.00	38000.00	0.00	0.00	0.00	43600.00
AU37	21319	1400.00	0.00	1000.00	8800.00	38200.00	0.00	0.00	0.00	49400.00
AU37	21319	3000.00	0.00	1200.00	6000.00	40000.00	20.00	0.00	0.00	50220.00
AU37	21319	1000.00	2200.00	1600.00	5600.00	13600.00	0.00	1200.00	25200.00	50400.00
AU37	21319	1200.00	0.00	200.00	3000.00	63200.00	0.00	0.00	0.00	67600.00
AU37	21319	1200.00	0.00	3800.00	2800.00	60000.00	200.00	0.00	200.00	68200.00
AU37	21319	3600.00	0.00	2600.00	2800.00	70000.00	600.00	0.00	0.00	79600.00
AU37	22519	1000.00	0.00	1800.00	0.00	2400.00	0.00	100.00	60.00	5360.00
AU37	22519	200.00	0.00	1800.00	0.00	3600.00	0.00	0.00	200.00	5800.00
AU37	22519	400.00	0.00	2000.00	0.00	3600.00	0.00	0.00	200.00	6200.00
AU37	22519	200.00	0.00	3000.00	0.00	3000.00	0.00	0.00	20.00	6220.00
AU37	22519	600.00	0.00	1400.00	0.00	5200.00	0.00	0.00	40.00	7240.00
AU37	22519	100.00	0.00	2400.00	0.00	5200.00	0.00	0.00	200.00	7900.00
AU37	22519	400.00	20.00	2400.00	0.00	5000.00	0.00	0.00	200.00	8020.00
AU37	22519	800.00	200.00	2200.00	0.00	4800.00	0.00	0.00	80.00	8080.00
AU37	22519	600.00	80.00	1200.00	0.00	6600.00	0.00	0.00	40.00	8520.00
AU37	22519	1200.00	20.00	3000.00	0.00	4400.00	0.00	0.00	0.00	8620.00
AU37	22519	1000.00	0.00	2800.00	0.00	5000.00	0.00	0.00	60.00	8860.00
AU37	22519	400.00	0.00	3400.00	0.00	5000.00	0.00	0.00	120.00	8920.00
AU37	22519	200.00	0.00	2000.00	0.00	7400.00	0.00	0.00	20.00	9620.00
AU37	22519	600.00	0.00	1800.00	0.00	7400.00	0.00	0.00	200.00	10000.00
AU37	22519	200.00	0.00	2400.00	0.00	6400.00	0.00	0.00	1000.00	10000.00
AU37	22519	3000.00	0.00	2000.00	0.00	5000.00	0.00	0.00	20.00	10020.00
AU37	22519	200.00	0.00	3200.00	0.00	6600.00	0.00	0.00	200.00	10200.00
AU37	22519	1200.00	0.00	2400.00	0.00	8400.00	0.00	0.00	200.00	12200.00
AU37	22519	800.00	0.00	2800.00	800.00	8000.00	0.00	0.00	200.00	12600.00
AU37	22519	400.00	0.00	3800.00	0.00	7200.00	0.00	0.00	2000.00	13400.00
AU37	22519	2000.00	0.00	200.00	0.00	12400.00	0.00	0.00	40.00	14640.00
