Condition,CFU,logCFU,Date
PM.A1.5,6000,3.77815125,20220109
PM.A1.5,62000,4.792391689,20220109
PM.A1.5,4400,3.643452676,20220109
PM.A1.5,58000,4.763427994,20220109
PM.A1.5,3400,3.531478917,20220109
PM.A1.5,3000,3.477121255,20220109
PM.A1.5,3000,3.477121255,20220109
PM.A1.5,4400,3.643452676,20220109
PM.A1.5,4000,3.602059991,20220109
PM.A1.5,3800,3.579783597,20220109
PM.A1.5,38000,4.579783597,20220109
PM.A1.5,3600,3.556302501,20220109
PM.A1.5,2800,3.447158031,20211213
PM.A1.5,64000,4.806179974,20211213
PM.A1.5,3200,3.505149978,20211213
PM.A1.5,4000,3.602059991,20211213
PM.A1.5,6000,3.77815125,20211213
PM.A1.5,3600,3.556302501,20211213
PM.A1.5,5200,3.716003344,20211213
PM.A1.5,32000,4.505149978,20211213
PM.A1.5,6000,3.77815125,20211213
PM.A1.5,4600,3.662757832,20211213
PM.A1.5,4000,3.602059991,20211213
PM.A1.5,80000,4.903089987,20211213
PM.A1.5,50000,4.698970004,20211213
PM.A1.5,80000,4.903089987,20211213
PM.A1.5,36000,4.556302501,20211213
PM.A1.5,4000,3.602059991,20211213
PM.A1.5,5000,3.698970004,20211213
PM.A1.5,4800,3.681241237,20211213
PM.A1.5,36000,4.556302501,20211213
PM.A1.5,22000,4.342422681,20211213
PM.A1.5,3600,3.556302501,20211213
PM.A1.5,42000,4.62324929,20211213
PM.A1.5,100000,5,20211213
PM.A1.5,6000,3.77815125,20211213
PM.A1.9,5400,3.73239376,20220109
PM.A1.9,6000,3.77815125,20220109
PM.A1.9,800,2.903089987,20220109
PM.A1.9,3800,3.579783597,20220109
PM.A1.9,5200,3.716003344,20220109
PM.A1.9,54000,4.73239376,20220109
PM.A1.9,4000,3.602059991,20220109
PM.A1.9,4000,3.602059991,20220109
PM.A1.9,2800,3.447158031,20220109
PM.A1.9,4800,3.681241237,20220109
PM.A1.9,5000,3.698970004,20220109
PM.A1.9,5400,3.73239376,20220109
PM.A1.9,4000,3.602059991,20210117
PM.A1.9,4600,3.662757832,20210117
PM.A1.9,3600,3.556302501,20210117
PM.A1.9,5600,3.748188027,20210117
PM.A1.9,5000,3.698970004,20210117
PM.A1.9,4400,3.643452676,20210117
PM.A1.9,3600,3.556302501,20210117
PM.A1.9,5400,3.73239376,20210117
PM.A1.9,3400,3.531478917,20210117
PM.A1.9,22000,4.342422681,20210117
PM.A1.9,4200,3.62324929,20210117
PM.A1.9,8000,3.903089987,20210117
PM.A1.9,2400,3.380211242,20201206
PM.A1.9,5000,3.698970004,20201206
PM.A1.9,3600,3.556302501,20201206
PM.A1.9,3800,3.579783597,20201206
PM.A1.9,3400,3.531478917,20201206
