Condition	Date	Count	logCount
Bleach	20210212	0	0.00
Bleach	20210212	200	2.30
Bleach	20210212	600	2.78
Bleach	20210212	0	0.00
Bleach	20210212	400	2.60
Bleach	20210212	2800	3.45
Bleach	20210212	0	0.00
Bleach	20210212	0	0.00
Bleach	20210212	0	0.00
Bleach	20210212	0	0.00
Bleach	20210212	10000	4.00
Bleach	20210212	2600	3.42
Bleach	20210212	0	0.00
Bleach	20210212	800	2.90
Bleach	20210212	0	0.00
Bleach	20210212	1600	3.20
Bleach	20210212	1000	3.00
Bleach	20210212	0	0.00
Bleach	20210212	1800	3.26
Bleach	20210212	400	2.60
Bleach	20210212	3800	3.58
Bleach	20210212	0	0.00
Bleach	20210212	1400	3.15
Bleach	20210212	2000	3.30
NoBleach	20210212	0	0.00
NoBleach	20210212	0	0.00
NoBleach	20210212	0	0.00
NoBleach	20210212	10000	4.00
NoBleach	20210212	0	0.00
NoBleach	20210212	4000	3.60
NoBleach	20210212	6000	3.78
NoBleach	20210212	2600	3.42
NoBleach	20210212	1200	3.08
NoBleach	20210212	12000	4.08
NoBleach	20210212	3200	3.51
NoBleach	20210212	1200	3.08
NoBleach	20210212	2400	3.38
NoBleach	20210212	12000	4.08
NoBleach	20210212	0	0.00
NoBleach	20210212	10000	4.00
NoBleach	20210212	0	0.00
NoBleach	20210212	8000	3.90
NoBleach	20210212	16000	4.20
NoBleach	20210212	0	0.00
NoBleach	20210212	1000	3.00
NoBleach	20210212	30000	4.48
NoBleach	20210212	20000	4.30
NoBleach	20210212	58000	4.76
Bleach	20210207	0	0.00
Bleach	20210207	6000	3.78
Bleach	20210207	4400	3.64
Bleach	20210207	0	0.00
Bleach	20210207	2000	3.30
Bleach	20210207	1400	3.15
Bleach	20210207	20000	4.30
Bleach	20210207	0	0.00
Bleach	20210207	4800	3.68
Bleach	20210207	1200	3.08
Bleach	20210207	2200	3.34
Bleach	20210207	0	0.00
Bleach	20210207	8000	3.90
Bleach	20210207	5600	3.75
Bleach	20210207	2000	3.30
Bleach	20210207	50000	4.70
Bleach	20210207	2400	3.38
Bleach	20210207	0	0.00
Bleach	20210207	400	2.60
Bleach	20210207	6000	3.78
Bleach	20210207	200	2.30
Bleach	20210207	4200	3.62
Bleach	20210207	4400	3.64
Bleach	20210207	0	0.00
NoBleach	20210207	86000	4.93
NoBleach	20210207	0	0.00
NoBleach	20210207	58000	4.76
NoBleach	20210207	0	0.00
NoBleach	20210207	0	0.00
NoBleach	20210207	0	0.00
NoBleach	20210207	26000	4.41
NoBleach	20210207	42000	4.62
NoBleach	20210207	400	2.60
NoBleach	20210207	0	0.00
NoBleach	20210207	66000	4.82
NoBleach	20210207	200	2.30
NoBleach	20210207	0	0.00
NoBleach	20210207	0	0.00
NoBleach	20210207	38000	4.58
NoBleach	20210207	0	0.00
NoBleach	20210207	36000	4.56
NoBleach	20210207	400	2.60
NoBleach	20210207	30000	4.48
NoBleach	20210207	600	2.78
NoBleach	20210207	800	2.90
NoBleach	20210207	8000	3.90
NoBleach	20210207	22000	4.34
NoBleach	20210207	200	2.30
Bleach	20210623	320	2.51
Bleach	20210623	0	0.00
Bleach	20210623	2200	3.34
Bleach	20210623	26000	4.41
Bleach	20210623	460	2.66
Bleach	20210623	100	2.00
Bleach	20210623	3800	3.58
Bleach	20210623	4600	3.66
Bleach	20210623	600	2.78
Bleach	20210623	14000	4.15
Bleach	20210623	20	1.32
Bleach	20210623	460	2.66
Bleach	20210623	1200	3.08
Bleach	20210623	1000	3.00
Bleach	20210623	0	0.00
Bleach	20210623	1000	3.00
Bleach	20210623	16000	4.20
Bleach	20210623	48000	4.68
Bleach	20210623	14000	4.15
Bleach	20210623	180	2.26
Bleach	20210623	2600	3.42
Bleach	20210623	180	2.26
Bleach	20210623	1000	3.00
Bleach	20210623	70000	4.85
NoBleach	20210623	640	2.81
NoBleach	20210623	8000	3.90
NoBleach	20210623	0	0.00
NoBleach	20210623	340	2.53
NoBleach	20210623	3000	3.48
NoBleach	20210623	28000	4.45
NoBleach	20210623	0	0.00
NoBleach	20210623	16000	4.20
NoBleach	20210623	44000	4.64
NoBleach	20210623	60	1.79
NoBleach	20210623	180	2.26
NoBleach	20210623	240	2.38
NoBleach	20210623	12000	4.08
NoBleach	20210623	3000	3.48
NoBleach	20210623	0	0.00
NoBleach	20210623	32000	4.51
NoBleach	20210623	40000	4.60
NoBleach	20210623	6400	3.81
NoBleach	20210623	1000	3.00
NoBleach	20210623	5000	3.70
NoBleach	20210623	440	2.64
NoBleach	20210623	5600	3.75
NoBleach	20210623	5800	3.76
NoBleach	20210623	140	2.15
