Date	PlateCount	Colonies.Hr	CFU	logCFU	Rate
20210421	13	8.67	280	2.45	3.10E-02
20210421	15	10.00	20	1.32	5.00E-01
20210421	13	8.67	1400	3.15	6.19E-03
20210421	0	0.00	20	1.32	0.00E+00
20210421	0	0.00	1600	3.20	0.00E+00
20210421	0	0.00	3800	3.58	0.00E+00
20210421	0	0.00	1800	3.26	0.00E+00
20210421	0	0.00	1200	3.08	0.00E+00
20210421	0	0.00	0	0.00	0.00E+00
20210421	4	2.67	5600	3.75	4.76E-04
20210421	0	0.00	1400	3.15	0.00E+00
20210421	2	1.33	3600	3.56	3.70E-04
20210512	0	0.00	0	0.00	0.00E+00
20210512	7	4.67	14000	4.15	3.33E-04
20210512	0	0.00	0	0.00	0.00E+00
20210512	8	5.33	1600	3.20	3.33E-03
20210512	8	5.33	1600	3.20	3.33E-03
20210512	5	3.33	1000	3.00	3.33E-03
20210512	3	2.00	600	2.78	3.33E-03
20210512	12	8.00	2400	3.38	3.33E-03
20210512	5	3.33	1000	3.00	3.33E-03
20210512	4	2.67	800	2.90	3.33E-03
20210512	6	4.00	1200	3.08	3.33E-03
20210512	3	2.00	6000	3.78	3.33E-04
20210623	0	0.00	42000	4.62	0.00E+00
20210623	9	6.00	26000	4.41	2.31E-04
20210623	35	23.33	0	0.00	0.00E+00
20210623	2	1.33	32000	4.51	4.17E-05
20210623	3	2.00	5800	3.76	3.45E-04
20210623	13	8.67	5600	3.75	1.55E-03
20210623	10	6.67	68000	4.83	9.80E-05
20210623	3	2.00	26000	4.41	7.69E-05
20210623	39	26.00	80	1.91	3.25E-01
20210623	18	12.00	14000	4.15	8.57E-04
20210623	25	16.67	4200	3.62	3.97E-03
20210623	3	2.00	62000	4.79	3.23E-05
