Treatment	Condition	Date	Rep	Count	D	CFU	logCFU
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	1	1	200	2.301029996
Bleach	SA	20210212	1	3	1	600	2.77815125
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	2	1	400	2.602059991
Bleach	SA	20210212	1	14	1	2800	3.447158031
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	5	2	10000	4
Bleach	SA	20210212	1	13	1	2600	3.414973348
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	4	1	800	2.903089987
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	8	1	1600	3.204119983
Bleach	SA	20210212	1	5	1	1000	3
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	9	1	1800	3.255272505
Bleach	SA	20210212	1	2	1	400	2.602059991
Bleach	SA	20210212	1	19	1	3800	3.579783597
Bleach	SA	20210212	1	0	0	0	0
Bleach	SA	20210212	1	7	1	1400	3.146128036
Bleach	SA	20210212	1	10	1	2000	3.301029996
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	5	2	10000	4
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	2	2	4000	3.602059991
NoBleach	SA	20210212	1	3	2	6000	3.77815125
NoBleach	SA	20210212	1	13	1	2600	3.414973348
NoBleach	SA	20210212	1	6	1	1200	3.079181246
NoBleach	SA	20210212	1	6	2	12000	4.079181246
NoBleach	SA	20210212	1	16	1	3200	3.505149978
NoBleach	SA	20210212	1	6	1	1200	3.079181246
NoBleach	SA	20210212	1	12	1	2400	3.380211242
NoBleach	SA	20210212	1	6	2	12000	4.079181246
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	5	2	10000	4
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	4	2	8000	3.903089987
NoBleach	SA	20210212	1	8	2	16000	4.204119983
NoBleach	SA	20210212	1	0	0	0	0
NoBleach	SA	20210212	1	5	1	1000	3
NoBleach	SA	20210212	1	15	2	30000	4.477121255
NoBleach	SA	20210212	1	10	2	20000	4.301029996
NoBleach	SA	20210212	1	29	2	58000	4.763427994
Bleach	SA	20210207	2	0	0	0	0
Bleach	SA	20210207	2	30	1	6000	3.77815125
Bleach	SA	20210207	2	22	1	4400	3.643452676
Bleach	SA	20210207	2	0	0	0	0
Bleach	SA	20210207	2	10	1	2000	3.301029996
Bleach	SA	20210207	2	7	1	1400	3.146128036
Bleach	SA	20210207	2	10	2	20000	4.301029996
Bleach	SA	20210207	2	0	0	0	0
Bleach	SA	20210207	2	24	1	4800	3.681241237
Bleach	SA	20210207	2	6	1	1200	3.079181246
Bleach	SA	20210207	2	11	1	2200	3.342422681
Bleach	SA	20210207	2	0	0	0	0
Bleach	SA	20210207	2	40	1	8000	3.903089987
Bleach	SA	20210207	2	28	1	5600	3.748188027
Bleach	SA	20210207	2	10	1	2000	3.301029996
Bleach	SA	20210207	2	25	2	50000	4.698970004
Bleach	SA	20210207	2	12	1	2400	3.380211242
Bleach	SA	20210207	2	0	0	0	0
Bleach	SA	20210207	2	2	1	400	2.602059991
Bleach	SA	20210207	2	30	1	6000	3.77815125
Bleach	SA	20210207	2	1	1	200	2.301029996
Bleach	SA	20210207	2	21	1	4200	3.62324929
Bleach	SA	20210207	2	22	1	4400	3.643452676
Bleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	43	2	86000	4.934498451
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	29	2	58000	4.763427994
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	13	2	26000	4.414973348
NoBleach	SA	20210207	2	21	2	42000	4.62324929
NoBleach	SA	20210207	2	2	1	400	2.602059991
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	33	2	66000	4.819543936
NoBleach	SA	20210207	2	1	1	200	2.301029996
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	19	2	38000	4.579783597
NoBleach	SA	20210207	2	0	0	0	0
NoBleach	SA	20210207	2	18	2	36000	4.556302501
NoBleach	SA	20210207	2	2	1	400	2.602059991
NoBleach	SA	20210207	2	15	2	30000	4.477121255
NoBleach	SA	20210207	2	3	1	600	2.77815125
NoBleach	SA	20210207	2	4	1	800	2.903089987
NoBleach	SA	20210207	2	4	2	8000	3.903089987
NoBleach	SA	20210207	2	11	2	22000	4.342422681
NoBleach	SA	20210207	2	1	1	200	2.301029996
Bleach	SA	20210423	3	14	1	2800	3.447158031
Bleach	SA	20210423	3	5	1	1000	3
Bleach	SA	20210423	3	23	1	4600	3.662757832
Bleach	SA	20210423	3	2	1	400	2.602059991
Bleach	SA	20210423	3	12	1	2400	3.380211242
Bleach	SA	20210423	3	13	2	26000	4.414973348
Bleach	SA	20210423	3	9	2	18000	4.255272505
Bleach	SA	20210423	3	25	1	5000	3.698970004
Bleach	SA	20210423	3	6	2	12000	4.079181246
Bleach	SA	20210423	3	5	2	10000	4
Bleach	SA	20210423	3	3	1	600	2.77815125
Bleach	SA	20210423	3	5	2	10000	4
Bleach	SA	20210423	3	22	1	4400	3.643452676
Bleach	SA	20210423	3	15	1	3000	3.477121255
Bleach	SA	20210423	3	13	1	2600	3.414973348
Bleach	SA	20210423	3	7	1	1400	3.146128036
Bleach	SA	20210423	3	2	2	4000	3.602059991
Bleach	SA	20210423	3	2	2	4000	3.602059991
Bleach	SA	20210423	3	11	2	22000	4.342422681
Bleach	SA	20210423	3	2	2	4000	3.602059991
Bleach	SA	20210423	3	4	2	8000	3.903089987
Bleach	SA	20210423	3	6	2	12000	4.079181246
Bleach	SA	20210423	3	2	2	4000	3.602059991
