Condition,CFU,logCFU,Date,Rep
AU37,2680,3.428,2019-01-23,1
AU37,3180,3.502,2019-01-23,1
AU37,5220,3.718,2019-01-23,1
AU37,5686,3.755,2019-01-23,1
AU37,24020,4.381,2019-01-23,1
AU37,24620,4.391,2019-01-23,1
AU37,25600,4.408,2019-01-23,1
AU37,28060,4.448,2019-01-23,1
AU37,30400,4.483,2019-01-23,1
AU37,55800,4.747,2019-01-23,1
AU37,67000,4.826,2019-01-23,1
AU37,2560,3.408,2019-02-13,2
AU37,3580,3.554,2019-02-13,2
AU37,3860,3.587,2019-02-13,2
AU37,4020,3.604,2019-02-13,2
AU37,4300,3.633,2019-02-13,2
AU37,7000,3.845,2019-02-13,2
AU37,8280,3.918,2019-02-13,2
AU37,9640,3.984,2019-02-13,2
AU37,11400,4.057,2019-02-13,2
AU37,11600,4.064,2019-02-13,2
AU37,12920,4.111,2019-02-13,2
AU37,13020,4.115,2019-02-13,2
AU37,13700,4.137,2019-02-13,2
AU37,14800,4.170,2019-02-13,2
AU37,15200,4.182,2019-02-13,2
AU37,15400,4.188,2019-02-13,2
AU37,15800,4.199,2019-02-13,2
AU37,15800,4.199,2019-02-13,2
AU37,16200,4.210,2019-02-13,2
AU37,19800,4.297,2019-02-13,2
AU37,20000,4.301,2019-02-13,2
AU37,20200,4.305,2019-02-13,2
AU37,20200,4.305,2019-02-13,2
AU37,21200,4.326,2019-02-13,2
AU37,21400,4.330,2019-02-13,2
AU37,22000,4.342,2019-02-13,2
AU37,22200,4.346,2019-02-13,2
AU37,22600,4.354,2019-02-13,2
AU37,23840,4.377,2019-02-13,2
AU37,26000,4.415,2019-02-13,2
AU37,27000,4.431,2019-02-13,2
AU37,27600,4.441,2019-02-13,2
AU37,34000,4.531,2019-02-13,2
AU37,35600,4.551,2019-02-13,2
AU37,36600,4.563,2019-02-13,2
AU37,38400,4.584,2019-02-13,2
AU37,39400,4.595,2019-02-13,2
AU37,40200,4.604,2019-02-13,2
AU37,43600,4.639,2019-02-13,2
AU37,49400,4.694,2019-02-13,2
AU37,50220,4.701,2019-02-13,2
AU37,50400,4.702,2019-02-13,2
AU37,67600,4.830,2019-02-13,2
AU37,68200,4.834,2019-02-13,2
AU37,79600,4.901,2019-02-13,2
AU37,5360,3.729,2019-02-25,3
AU37,5800,3.763,2019-02-25,3
AU37,6200,3.792,2019-02-25,3
AU37,6220,3.794,2019-02-25,3
AU37,7240,3.860,2019-02-25,3
AU37,7900,3.898,2019-02-25,3
AU37,8020,3.904,2019-02-25,3
AU37,8080,3.907,2019-02-25,3
AU37,8520,3.930,2019-02-25,3
AU37,8620,3.936,2019-02-25,3
AU37,8860,3.947,2019-02-25,3
AU37,8920,3.950,2019-02-25,3
AU37,9620,3.983,2019-02-25,3
AU37,10000,4.000,2019-02-25,3
AU37,10000,4.000,2019-02-25,3
AU37,10020,4.001,2019-02-25,3
AU37,10200,4.009,2019-02-25,3
AU37,12200,4.086,2019-02-25,3
AU37,12600,4.100,2019-02-25,3
AU37,13400,4.127,2019-02-25,3
AU37,14640,4.166,2019-02-25,3
AU37,14840,4.171,2019-02-25,3
AU37,15600,4.193,2019-02-25,3
AU37,16600,4.220,2019-02-25,3
AU37,20800,4.318,2019-02-25,3
AU37,21480,4.332,2019-02-25,3
AU37,24220,4.384,2019-02-25,3
AU37,25860,4.413,2019-02-25,3
AU37,26200,4.418,2019-02-25,3
AU37,26420,4.422,2019-02-25,3
AU37,26680,4.426,2019-02-25,3
AU37,27080,4.433,2019-02-25,3
AU37,27800,4.444,2019-02-25,3
AU37,29200,4.465,2019-02-25,3
AU37,31800,4.502,2019-02-25,3
AU37,34860,4.542,2019-02-25,3
AU37,12800,4.107,2019-04-03,4
