"Condition"	"Rep"	"maxCFU"	"minCFU"	"q90"	"q75"	"q50"	"q25"	"q10"	"meanCFU"	"varCFU"	"skewCFU"	"kurtCFU"	"Q1"	"Q2"	"cvCFU"
"1"	"AU37"	"2"	79600	2560	49892	35600	20200	13020	5380	25029.7777777778	327949520.40404	1.14789668559763	0.831618766434882	2.70653450546322	2.43406184138056	0.723513278812403
"2"	"AU37"	"3"	34860	5360	27440	24630	12400	8595	6730	15607.2222222222	76810357.7777778	0.62800213034792	-1.09498609920886	2.45295847115031	1.83786295005807	0.561544631870437
"3"	"daf16"	"1"	126800	1160	72920	29550	21200	15245	7740	29563.3333333333	799652605.714286	1.71802979324224	2.38716570158357	4.22870909380654	2.89516765285996	0.956527098632988
"4"	"daf16"	"2"	81400	7000	51400	34600	22700	17700	14500	28392.7777777778	265858494.920635	1.33095529584393	1.37036131114249	2.82576123175916	2.55067682305565	0.574271663881443
"5"	"daf16"	"3"	106600	1380	81520	73050	48200	20065	2802	46861.6666666667	1037466153.62319	0.0533096917794128	-1.35111076290628	1.15733722406083	1.66319919158295	0.687336232489909
"6"	"daf2"	"2"	12600	90	3976	1580	596	187	133.2	1545.86046511628	6137976.07530454	2.66703669140458	7.66882020737879	14.2432897453544	3.02111808100704	1.60266334908781
"7"	"daf2"	"3"	7260	162	2377.6	2063	1480	723	285.2	1641.73913043478	2273707.74703557	2.18184559181134	5.68563213383912	2.70770799941717	2.19654712391117	0.918466184067072
"8"	"daf2"	"4"	7260	162	2379.8	2091.5	1510	760	273.8	1696.27272727273	2310322.3982684	2.14657541514151	5.46181936971635	2.52482055156781	2.22550329167064	0.896067270588069
"9"	"dbl1"	"1"	80060	520	10112	6260	2360	1460	784	7799.39393939394	257487087.121212	3.37404773630865	11.1464876074628	20.6126454750738	4.14183863886915	2.05739116463465
"10"	"dbl1"	"2"	80800	1320	27100	15480	8900	4520	2990	14057.7777777778	291856360.634921	2.44902333077744	5.69683706906385	8.29589069670421	3.33404406538735	1.21525637370823
