Date	Host	ID	27	45	53	56	71	120	181	238	Count	D	CFU
6/21/2019	N2	1	1	0.1	0	60	8	0.1	0	1	70	2	14040
6/21/2019	N2	2	6	0	2	30	13	0	0	0.3	51	2	10260
6/21/2019	N2	3	13	2	9	40	63	0	0	0	127	1	2540
6/21/2019	N2	4	24	1	4	38	23	0	0	0	90	2	18000
6/21/2019	N2	5	22	1	2	30	9	0.2	0	0	64	2	12840
6/21/2019	N2	6	4	1	0	55	71	0	0	0	131	1	2620
6/21/2019	N2	7	7	4	5	30	74	0	0	0	120	1	2400
6/21/2019	N2	8	5	1	2	7	18	0	0	0.1	33	2	6620
6/21/2019	N2	10	11	1	2	0	41	0	0	1	56	2	11200
6/21/2019	N2	11	38	1	2	68	23	0	0	3	135	2	27000
6/21/2019	N2	12	1	0	0	38	23	0	0	0	62	1	1240
6/21/2019	N2	13	12	1	1	15	35	0	0	1	65	2	13000
6/21/2019	N2	14	19	3	4	37	35	0	0	0	98	1	1960
6/21/2019	N2	15	1	2	4	42	39	0	0	0	88	1	1760
6/21/2019	N2	16	13	4	4	44	38	0	0	0	103	1	2060
6/21/2019	N2	17	18	4	6	0	205	0	0	9	242	1	4840
6/21/2019	N2	18	32	2	3	45	39	0	0	4	125	1	2500
6/21/2019	N2	19	4	0	3	0	120	0	0	4	131	1	2620
6/21/2019	N2	20	12	2	0	10	45	0	0	1	70	2	14000
6/21/2019	N2	21	13	1	2	50	41	0	0	0	107	1	2140
6/21/2019	N2	23	9	1	1	50	34	0	0	0.2	95	2	19040
6/21/2019	N2	24	6	1	0	55	53	1	0	3	119	1	2380
6/26/2019	dbl1	1	2	0.2	0.3	0	7	0	0	16	26	2	5100
6/26/2019	dbl1	2	3	0	10	0	93	0	0	12	118	1	2360
6/26/2019	dbl1	3	1	0	0	0	38	0	0	9	48	1	960
6/26/2019	dbl1	4	2	0	0.3	0.5	10	0	0	32	45	2	8960
6/26/2019	dbl1	5	0.3	0	0.2	0	39	0	0	1	41	2	8100
6/26/2019	dbl1	7	0.1	2	2	0	18	0	0	0.1	22	2	4440
6/26/2019	dbl1	8	0	0	1	0	2	1	0	20	24	2	4800
6/26/2019	dbl1	9	9	5	5	0	62	1	0	7	89	1	1780
6/26/2019	dbl1	10	3	10	8	0	200	0	0	35	256	2	51200
6/26/2019	dbl1	11	0	0	1	15	56	0	0	34	106	1	2120
6/26/2019	dbl1	12	3	0	1	0	16	0	0	37	57	1	1140
6/26/2019	dbl1	13	1	0.1	0.2	0	36	0	0	92	129	2	25860
6/26/2019	dbl1	14	8	2	2	0	30	2	0	8	52	2	10400
6/26/2019	dbl1	15	2	0	0	0	38	0	0	63	103	1	2060
6/26/2019	dbl1	16	3	0	20	10	48	0	0	29	110	1	2200
6/26/2019	dbl1	17	2	2	1	0	65	0	0	73	143	1	2860
6/26/2019	dbl1	18	0	3	2	0	32	0	0	3	40	1	800
6/26/2019	dbl1	19	1	0	0	0	21	0	0	3	25	1	500
6/26/2019	dbl1	20	1	0	1	0	27	0	0	7	36	1	720
6/26/2019	dbl1	21	3	15	9	0	142	0	0	8	177	1	3540
6/26/2019	dbl1	22	0	0.1	0	0	4	0	0	21	25	2	5020
6/26/2019	dbl1	25	1	0	0	0	44	0	0	16	61	1	1220
6/26/2019	dbl1	26	18	4	2	0	35	1	0	13	73	1	1460
6/26/2019	dbl1	27	0.3	0	0	0	100	0	0	300	400	2	80060
6/26/2019	dbl1	28	14	5	1	0	53	0	0	4	77	1	1540
6/26/2019	dbl1	29	0.3	24	2	0	2	0	0	5	33	2	6660
6/26/2019	dbl1	30	5	0	0	0	11	0	0	98	114	1	2280
6/26/2019	dbl1	31	6	1	2	0	15	0	0	2	26	1	520
6/26/2019	dbl1	32	2	0	1	0	304	0	0	10	317	1	6340
6/26/2019	dbl1	33	5	0	1	0	63	0	0	6	75	1	1500
6/26/2019	dbl1	34	9	33	15	0	129	0	0	4	190	1	3800
6/26/2019	dbl1	35	6	1	1	0	300	0	0	5	313	1	6260
6/26/2019	dbl1	36	7	0	0	0	23	0	0	9	39	1	780
2/13/2019	N2	1	3	2	1	2	130	0	0	2	140	2	28000
2/13/2019	N2	2	0.3	0	0.3	2	68	0	0	41	112	2	22320
2/13/2019	N2	3	38	1	3	4	200	0	0	6	252	2	50400
2/13/2019	N2	4	4	0	1	30	61	0.1	0	0	96	2	19220
2/13/2019	N2	5	8	0	1	27	150	0.1	0	0.3	186	2	37280
2/13/2019	N2	6	46	0	0.3	2	113	0.1	0	0	161	2	32280
2/13/2019	N2	7	10	0	2	2	58	0	0.1	3	75	2	15020
2/13/2019	N2	8	3	0	1	6	135	0	0	0	145	2	29000
2/13/2019	N2	9	41	0	2	11	210	1	0	4	269	2	53800
2/13/2019	N2	10	0.5	0	1	9	73	0	0	0.1	84	2	16720
2/13/2019	N2	11	31	0	0	34	200	1	0	7	273	1	5460
2/13/2019	N2	12	2	0	2	3	87	0.1	0	1	95	2	19020
2/13/2019	N2	13	2	0	0	30	84	0	0	1	117	1	2340
2/13/2019	N2	14	14	0	0	3	110	1	0	4	132	2	26400
2/13/2019	N2	15	18	0	1	26	200	0	0	0	245	2	49000
2/13/2019	N2	16	26	0	0	10	125	0	0	0	161	2	32200
2/13/2019	N2	17	8	0	2	12	215	0	0	1	238	2	47600
2/13/2019	N2	18	0	0	1	45	145	0	0	0	191	2	38200
2/13/2019	N2	19	12	0	1	16	110	0	0	6	145	2	29000
2/13/2019	N2	20	46	0	0	33	200	1	0	5	285	2	57000
2/13/2019	N2	21	5	0	2	2	300	0	0	6	315	2	63000
2/13/2019	N2	22	11	0	2	70	150	0	0	0	233	2	46600
2/13/2019	N2	23	0	0	32	2	230	0	0	20	284	2	56800
2/13/2019	N2	24	5	0	0	80	120	0	0	0	205	2	41000
